concept,family,classification,justification,required_missing_capability,closest_supported_substitute,composition_constraint_needed,composition_constraint_note,priority_unlock
block_candidate,Physical action reconstruction,missing_primitive,"A block is a contact/contest action on the ball; no contact/duel primitive to reconstruct it (only ball-trajectory deflection inference, which is unmodeled).",contact/duel primitive,action_event_anchor (no contact model),False,,LOW
carry_episode,Physical action reconstruction,missing_primitive,Carry (a player advancing in control of the ball) is an explicitly named missing primitive (carry_episode); no carry primitive in catalog.,carry_episode,possession_segment + velocity (player-with-ball proxy),False,,HIGH
clearance_episode,Physical action reconstruction,missing_primitive,Clearance reconstruction is explicitly called out as missing_primitive (no clearance primitive); requires a defensive-action primitive.,clearance primitive (contact/action),action_event_anchor + outcome_classification,False,,MED
controlled_action_episode,Physical action reconstruction,supported,Controlled action (player in control performing an action) maps to controlled_pass_episode / one_touch_relay_episode family for the supported action types.,,controlled_pass_episode + one_touch_relay_episode,False,,LOW
cross_episode,Physical action reconstruction,partial_with_typed_gap,"A cross is a pass type from wide areas; the pass leg is supported (controlled_pass_episode + ball_lateral_fraction wide origin), but identifying it as an aerial cross needs ball-height and a declared cross definition; ground cross partial, aerial cross gap.",ball_height + declared cross composition,controlled_pass_episode + ball_lateral_fraction,True,,MED
cutback_episode,Physical action reconstruction,partial_with_typed_gap,"Cutback is a pass from byline back into a central area; pass leg supported via controlled_pass_episode + ball_lateral_fraction + geometric_progressive_corridor, but the named cutback geometry/region is a dynamic region (cutback_region) which is missing; pass partial, region gap.",structured_zones (cutback_region) + declared composition,controlled_pass_episode + ball_lateral_fraction,True,,MED
deflection_candidate,Physical action reconstruction,missing_primitive,Deflection requires detecting a contact altering ball trajectory; no contact primitive and no probabilistic trajectory-break model.,contact primitive,"ball tracking (trajectory only, no contact attribution)",False,,LOW
dribble_attempt_episode,Physical action reconstruction,missing_primitive,Dribble-attempt reconstruction is explicitly missing_primitive (no dribble-attempt primitive); requires a carry/take-on action primitive.,dribble/carry primitive,possession_segment + pressure_on_carrier,False,,MED
duel_episode,Physical action reconstruction,missing_primitive,Duel reconstruction is explicitly missing_primitive (no duel primitive); contest between two players for the ball not modeled.,duel primitive,pairwise_distance + pressure_on_carrier (proximity proxy only),False,,MED
headed_action_candidate,Physical action reconstruction,missing_modality,Identifying a header needs ball-height plus contact at a player's head; ball-height absent and contact/body modality absent (no biomechanics/body model).,ball_height + body/contact modality,action_event_anchor (no height/contact),False,,LOW
interception_episode,Physical action reconstruction,partial_with_typed_gap,"An interception = opponent enters the pass lane and takes control mid-pass; pass leg + change of control are supported (controlled_pass_episode + outcome_classification + change_across_anchor), but attributing the interception contact needs a contact/contest primitive; coarse interception partial.",contact/contest primitive,controlled_pass_episode + outcome_classification + change_across_anchor,True,,MED
miscontrol_candidate,Physical action reconstruction,partial_with_typed_gap,"Loss of control on receipt can be proxied by a reception followed by immediate loss (outcome_classification + possession_segment break), but confirming it was a touch error vs a tackle needs a contact/touch-error model; proxy partial.",contact/touch-quality primitive,outcome_classification + possession_segment,True,,LOW
pass_episode,Physical action reconstruction,supported,Direct equivalent of controlled_pass_episode; pass reconstruction is an explicit catalog strength.,,controlled_pass_episode,False,,LOW
physical_ball_reception,Physical action reconstruction,supported,Reception = receiver gaining control at pass end; supported via controlled_pass_episode end + relation_destination_entry + possession_segment.,,controlled_pass_episode + relation_destination_entry,False,,LOW
physical_ball_release,Physical action reconstruction,supported,Release = ball leaving the carrier at pass/relay onset; supported via controlled_pass_episode onset + one_touch_relay_episode + action_event_anchor.,,controlled_pass_episode (onset) + action_event_anchor,False,,LOW
rebound_episode,Physical action reconstruction,missing_primitive,Rebound requires detecting ball coming off a player/keeper/post (a contact/deflection event); no contact primitive.,contact primitive,ball tracking (trajectory only),False,,LOW
shot_episode,Physical action reconstruction,missing_primitive,Shot reconstruction is explicitly missing_primitive (no shot action primitive / shot_geometry); a shot-action primitive is required.,shot primitive (shot_geometry),action_event_anchor + ball trajectory toward goal (proxy),False,,MED
switch_of_play_action,Physical action reconstruction,supported,Switch as an action maps to switch_of_play + controlled_pass_episode (the long cross-pitch pass leg); both in catalog.,,switch_of_play + controlled_pass_episode,False,,LOW
tackle_episode,Physical action reconstruction,missing_primitive,Tackle reconstruction is explicitly missing_primitive (no tackle primitive); a defensive contest/contact action.,tackle primitive,pressure_on_carrier + pairwise_distance (proxy),False,,MED
through_ball_candidate,Physical action reconstruction,supported,A through ball is a penetrating pass into space behind a line; supported via controlled_pass_episode + geometric_progressive_corridor + relative_position_to_line + controlled_line_break_episode.,,controlled_pass_episode + geometric_progressive_corridor + defensive_line_model,True,,LOW
absolute_pitch_frame,Reference frames and dynamic football regions,supported,Absolute pitch coordinates are the base tracking frame (tracking positions AVAILABLE); the raw coordinate frame is directly available.,,tracking positions (modality),False,,LOW
actor_relative_frame,Reference frames and dynamic football regions,missing_primitive,"Actor-relative frame is a general reference-frame transform, explicitly called out as missing (reference_frame); only ball-relative side and team-centroid frames exist.",reference_frame,ball_lateral_fraction / defensive_outfield_centroid,False,,MED
attacking_team_frame,Reference frames and dynamic football regions,partial_with_typed_gap,"A team-centroid frame exists for the defensive team (defensive_outfield_centroid); an attacking-team frame is the same construction applied to the other team plus attacking-direction normalization, which is a typed reference_frame gap (general team/attacking-direction frame).",reference_frame (attacking-direction team frame),defensive_outfield_centroid (team centroid frame),False,,MED
ball_relative_frame,Reference frames and dynamic football regions,partial_with_typed_gap,"Ball-relative side/width is supported (ball_lateral_fraction), but a full ball-relative coordinate frame (transforming all positions into ball-centered axes) is the general reference_frame primitive that is missing; simple side supported, full transform gap.",reference_frame (full ball-relative transform),ball_lateral_fraction (ball side/width),False,,MED
ball_side_region,Reference frames and dynamic football regions,supported,Ball-side region (which side of the pitch the ball is on) is the simple side/width case = ball_lateral_fraction; per calibration simple side/width = supported.,,ball_lateral_fraction (ball side/width),False,,LOW
behind_unit_region,Reference frames and dynamic football regions,missing_primitive,"Behind-unit region is explicitly a named dynamic region (behind-unit region) called out as missing_primitive (structured_zones); only line-relative position exists, not a region object.",structured_zones (behind-unit region),relative_position_to_line / multi_line_model,False,,MED
between_units_region,Reference frames and dynamic football regions,missing_primitive,Between-lines/between-units pocket is explicitly a named dynamic region called out as missing_primitive (structured_zones); multi_line_model gives lines but not the pocket region between them.,structured_zones (between-units pocket),multi_line_model + relative_position_to_line,False,,MED
custom_dynamic_region,Reference frames and dynamic football regions,missing_primitive,A general user-defined dynamic region is precisely the structured_zones primitive that is missing; no declarable dynamic-region constructor in catalog.,structured_zones,geometric_progressive_corridor (fixed-shape only),False,,MED
cutback_region,Reference frames and dynamic football regions,missing_primitive,The cutback zone (pocket near the byline/edge of box from which cutbacks are played) is a named dynamic football region; structured_zones primitive missing. Fixed-coordinate approximation possible but the canonical dynamic cutback region is not a catalog primitive.,structured_zones (cutback region),geometric_progressive_corridor / ball_lateral_fraction (wide+deep proxy),False,,MED
defending_team_frame,Reference frames and dynamic football regions,supported,"Defending-team frame is exactly defensive_outfield_centroid (team-centroid frame for the defending team), a catalog primitive providing a team reference frame.",,defensive_outfield_centroid,False,,LOW
goal_corridor_region,Reference frames and dynamic football regions,partial_with_typed_gap,"A corridor toward goal partly overlaps geometric_progressive_corridor (a supported fixed corridor), but a named goal-mouth/shot corridor as a region with goal anchoring is a structured_zone; corridor primitive partial, named goal region gap.",structured_zones (goal corridor) / shot_geometry,geometric_progressive_corridor (+_from_anchor_set),False,,LOW
goal_relative_frame,Reference frames and dynamic football regions,missing_primitive,Goal-relative coordinate frame (angle/distance-to-goal axes) is a general reference_frame transform not in catalog; no goal-anchored frame primitive.,reference_frame (goal-anchored),geometric_progressive_corridor_from_anchor_set (partial anchoring),False,,LOW
outside_team_shape_region,Reference frames and dynamic football regions,missing_primitive,"Outside-the-block region is a named dynamic region derived from team shape; structured_zones primitive missing. team_compactness gives a scalar, not a region with inside/outside membership.",structured_zones (team-shape region),team_compactness (scalar only),False,,MED
penalty_area_region,Reference frames and dynamic football regions,supported,"Penalty area is a static, pitch-fixed zone defined by laws-of-the-game coordinates; a fixed rectangle on the absolute pitch frame, expressible as a constant region with membership tests (no dynamic primitive needed).",,tracking positions + fixed pitch coordinates,False,,LOW
pitch_third_region,Reference frames and dynamic football regions,supported,"Pitch thirds are static pitch-fixed bands (defensive/middle/attacking) on absolute coordinates; fixed-coordinate membership, no dynamic-region primitive required.",,tracking positions + fixed pitch coordinates,False,,LOW
region_arrival,Reference frames and dynamic football regions,partial_with_typed_gap,"Arrival into a region maps to relation_destination_entry/change_across_anchor for supported (static or corridor) regions, but for named dynamic regions it inherits the structured_zones gap; supported for fixed zones, partial for dynamic ones.",structured_zones (for dynamic-region targets),relation_destination_entry + change_across_anchor,False,,LOW
region_dwell_episode,Reference frames and dynamic football regions,partial_with_typed_gap,Dwell = membership persisting over time (persists_for over region membership); supported for static/corridor regions but inherits the structured_zones gap for named dynamic regions.,structured_zones (for dynamic-region targets),lane_occupancy / corridor membership + persists_for,True,,LOW
region_entry,Reference frames and dynamic football regions,partial_with_typed_gap,"Entry into a region = relation_destination_entry / change_across_anchor for fixed and corridor regions (supported), but dynamic-region entry inherits structured_zones gap.",structured_zones (for dynamic-region targets),relation_destination_entry + change_across_anchor,False,,LOW
region_exit,Reference frames and dynamic football regions,partial_with_typed_gap,Exit = membership falling edge (change_across_anchor) for fixed/corridor regions (supported); dynamic-region exit inherits structured_zones gap.,structured_zones (for dynamic-region targets),change_across_anchor + lane_occupancy,False,,LOW
region_membership,Reference frames and dynamic football regions,partial_with_typed_gap,"Membership test is supported for static zones and attacking lanes (lane_occupancy) and corridors, but a general region-membership operator over arbitrary dynamic regions needs structured_zones; supported for fixed, partial for dynamic.",structured_zones (for dynamic regions),lane_occupancy (attacking lanes) / fixed-zone membership,False,,MED
region_vacation,Reference frames and dynamic football regions,partial_with_typed_gap,"Vacating a region = last occupant leaving (membership count -> 0, change_across_anchor) for fixed/corridor regions (supported); dynamic-region case inherits structured_zones gap.",structured_zones (for dynamic-region targets),lane_occupancy + change_across_anchor + count_at_least,True,,LOW
rest_defense_region,Reference frames and dynamic football regions,missing_primitive,"Rest-defense region is a named dynamic region (the area occupied by defenders behind the ball during attack); a structured_zone derived from team shape and ball position, not a catalog primitive.",structured_zones (rest-defense region),defensive_outfield_centroid + players behind ball (proxy),False,,MED
static_pitch_zone,Reference frames and dynamic football regions,supported,"Static pitch zone is a fixed-coordinate region on the absolute pitch frame; constant geometry with membership tests, no dynamic primitive needed.",,tracking positions + fixed pitch coordinates,False,,LOW
team_shape_interior,Reference frames and dynamic football regions,missing_primitive,"Interior of the team shape (inside the block) is a dynamic region requiring a shape/hull region object; team_compactness yields a scalar, not an inside/outside region. structured_zones missing.",structured_zones (team-shape interior region),team_compactness (scalar) + defensive_outfield_centroid,False,,MED
unit_relative_frame,Reference frames and dynamic football regions,missing_primitive,"A frame relative to a defensive unit/line is a general reference_frame transform; multi_line_model provides lines and relative_position_to_line a scalar, but a full unit-anchored coordinate frame is not a catalog primitive.",reference_frame (unit-anchored),multi_line_model + relative_position_to_line,False,,MED
vertical_channel_region,Reference frames and dynamic football regions,partial_with_typed_gap,"Vertical channels (left/center/right longitudinal bands) are close to attacking lanes which lane_occupancy supports; as static longitudinal bands they are supported, but if defined as half-space dynamic channels they need structured_zones. Treated as fixed bands = mostly supported with a typed gap for half-space variants.",structured_zones (half-space variant),lane_occupancy (attacking lanes),False,,LOW
weak_side_region,Reference frames and dynamic football regions,missing_primitive,"Weak side (far side from the ball) is a ball-relative dynamic region; ball_lateral_fraction gives ball side as a scalar but the far-side region as a structured dynamic zone (with extent/membership) is structured_zones, missing.",structured_zones (ball-relative weak-side region),ball_lateral_fraction (ball side scalar),False,,MED
zone_14_region,Reference frames and dynamic football regions,supported,"Zone 14 is a fixed pitch-coordinate region (central area just outside the box); static rectangle on the absolute pitch frame with membership tests, no dynamic primitive needed.",,tracking positions + fixed pitch coordinates,False,,LOW
formation_state_distribution,"Team shape, units, lines, occupation, and structural change",missing_primitive,"Formation typing (assigning a labeled shape such as 4-3-3 / probability distribution over formations) is not derivable from compactness, ranked lines, or centroid; it requires a formation template/classification primitive.",formation (template typing / classification),multi_line_model + team_compactness give line counts and width/depth but no formation label,False,,MED
formation_transition_episode,"Team shape, units, lines, occupation, and structural change",missing_primitive,"Detecting a change from one labeled formation to another presupposes formation typing, which is absent. Even with change_across_anchor you can flag structural change but not name it as a formation transition.",formation (typing) + transition_anchor,change_across_anchor over multi_line_model/team_compactness flags structural change without formation labels,False,,LOW
horizontal_compactness,"Team shape, units, lines, occupation, and structural change",supported,Directly the width dispersion measure of team_compactness (width/depth/dispersion).,,team_compactness (width),False,,HIGH
lane_occupancy,"Team shape, units, lines, occupation, and structural change",supported,Exact catalog primitive lane_occupancy (attacking lanes/channels).,,lane_occupancy,False,,HIGH
last_defensive_line,"Team shape, units, lines, occupation, and structural change",supported,multi_line_model exposes ranked lines; rank-1 deepest defensive line plus defensive_line_model (single observed line) gives the last line directly.,,multi_line_model (rank1) / defensive_line_model,False,,HIGH
line_drop_episode,"Team shape, units, lines, occupation, and structural change",supported,A line dropping (height decreasing over time) is change_across_anchor / signed_lateral_shift-style delta on the multi_line_model line height; longitudinal line-height change is observable.,,multi_line_model + change_across_anchor (line height delta),True,,MED
line_integrity,"Team shape, units, lines, occupation, and structural change",partial_with_typed_gap,"Whether a line stays straight/intact is partially readable from multi_line_model line fit residual, but a declared straightness/integrity metric beyond rank membership is not a catalog primitive.",line_integrity metric (fit residual / staggering measure),multi_line_model line membership + relative_position_to_line,True,,MED
line_shift_episode,"Team shape, units, lines, occupation, and structural change",supported,Lateral shift of a line is exactly signed_lateral_shift (block shift) applied to a multi_line_model line.,,signed_lateral_shift + multi_line_model,False,,HIGH
line_stagger,"Team shape, units, lines, occupation, and structural change",missing_primitive,"Staggering (how non-flat a line is, per-player offset pattern) needs an explicit staggering/integrity metric; ranked-line membership alone does not quantify stagger. Calibration: staggering = missing_primitive.",line_integrity / stagger metric,relative_position_to_line per player on a multi_line_model line,False,,LOW
line_step_episode,"Team shape, units, lines, occupation, and structural change",supported,A line stepping up (height increasing) is the dual of line_drop: change_across_anchor on multi_line_model line height.,,multi_line_model + change_across_anchor (line height delta),True,,MED
occupation_matrix,"Team shape, units, lines, occupation, and structural change",missing_primitive,A grid/matrix of zone occupation requires structured pitch zones; catalog has attacking lane_occupancy but no general zone grid. Calibration: occupation of zones = missing_primitive (structured_zones).,structured_zones,"lane_occupancy covers attacking channels only, not a full zone grid",False,,MED
offside_line_candidate,"Team shape, units, lines, occupation, and structural change",supported,The offside line is the second-rear-most defender line; multi_line_model (rank1/2) plus relative_position_to_line gives the last-defender line and beyond-line relations.,,multi_line_model (last line) + relative_position_to_line,False,,HIGH
onside_margin,"Team shape, units, lines, occupation, and structural change",supported,Signed longitudinal distance of an attacker relative to the last defensive line = relative_position_to_line against the multi_line_model last line.,,relative_position_to_line + multi_line_model (last line),False,,HIGH
players_ahead_of_ball,"Team shape, units, lines, occupation, and structural change",supported,Counting players ahead of the ball is relative_position_to_line vs the ball's lateral/longitudinal frame with count_at_least; ball-relative ahead/behind is observable from positions.,,relative_position_to_line (ball frame) + count operator,False,,MED
players_behind_ball,"Team shape, units, lines, occupation, and structural change",supported,Dual of players_ahead_of_ball; behind-ball relation + count. support_arrival_relation already encodes BEHIND_BALL_OUTLET directionality.,,relative_position_to_line (ball frame) + count operator,False,,MED
rest_defense_shape,"Team shape, units, lines, occupation, and structural change",partial_with_typed_gap,"Geometry of the rearmost non-pressing players is computable as team_compactness/centroid on that subset, but identifying WHICH players constitute rest-defense needs a role/reference selection that is not a catalog primitive.",role_or_reference set for rest-defense players,team_compactness + defensive_outfield_centroid on a player subset,False,,MED
shape_contraction_episode,"Team shape, units, lines, occupation, and structural change",supported,Compactness decreasing (area/width/depth shrinking) over an anchor = change_across_anchor on team_compactness.,,team_compactness + change_across_anchor,True,,MED
shape_deformation_episode,"Team shape, units, lines, occupation, and structural change",partial_with_typed_gap,"Generic non-rigid deformation (vs translation/scale) is partially captured by change in team_compactness dispersion, but a declared deformation metric (shape (dis)similarity beyond width/depth) is not in the catalog.",shape_similarity / deformation metric,team_compactness (dispersion) + change_across_anchor,True,,LOW
shape_expansion_episode,"Team shape, units, lines, occupation, and structural change",supported,Dual of contraction: compactness increasing = change_across_anchor on team_compactness.,,team_compactness + change_across_anchor,True,,MED
shape_translation_episode,"Team shape, units, lines, occupation, and structural change",supported,Bulk movement of the block is signed_lateral_shift (block shift) plus centroid displacement = change_across_anchor on defensive_outfield_centroid.,,signed_lateral_shift + defensive_outfield_centroid + change_across_anchor,False,,MED
team_area,"Team shape, units, lines, occupation, and structural change",supported,Block area is a compactness/dispersion measure exposed by team_compactness.,,team_compactness (dispersion/area),False,,HIGH
team_centroid,"Team shape, units, lines, occupation, and structural change",supported,Directly defensive_outfield_centroid (and the centroid notion generally).,,defensive_outfield_centroid,False,,HIGH
team_length,"Team shape, units, lines, occupation, and structural change",supported,Depth/length of the block is the depth component of team_compactness (width/depth/dispersion).,,team_compactness (depth),False,,HIGH
team_shape_anisotropy,"Team shape, units, lines, occupation, and structural change",partial_with_typed_gap,"Ratio of spread along principal axes is partially inferable from width vs depth in team_compactness, but a true anisotropy/covariance-ellipse eigen-ratio is not an explicit primitive.",shape covariance / anisotropy metric,team_compactness (width vs depth ratio proxy),True,,LOW
team_shape_orientation,"Team shape, units, lines, occupation, and structural change",partial_with_typed_gap,Orientation of the principal axis of the block needs a covariance/ellipse primitive; width/depth give axis lengths but not a declared orientation angle.,shape orientation (principal-axis) metric,team_compactness (width/depth) as a coarse proxy,True,,LOW
team_shape_similarity,"Team shape, units, lines, occupation, and structural change",missing_primitive,Comparing a current shape to a template/another instant requires a shape-matching/similarity primitive not present; width/depth scalars cannot establish configurational similarity.,shape_similarity metric,team_compactness scalars (insufficient for configural match),False,,LOW
team_shape_skew,"Team shape, units, lines, occupation, and structural change",partial_with_typed_gap,"Skew (asymmetry to one side) is partially captured by signed_lateral_shift of the centroid vs geometric center, but a declared distributional skew metric of the shape is not a primitive.",shape skew / asymmetry metric,signed_lateral_shift + defensive_outfield_centroid,True,,LOW
team_stretch_index,"Team shape, units, lines, occupation, and structural change",supported,Stretch (mean distance to centroid / dispersion) is the dispersion output of team_compactness.,,team_compactness (dispersion),False,,HIGH
team_width,"Team shape, units, lines, occupation, and structural change",supported,Directly the width component of team_compactness.,,team_compactness (width),False,,HIGH
unit_curvature,"Team shape, units, lines, occupation, and structural change",missing_primitive,Curvature of a unit's line is a shape/integrity descriptor beyond ranked-line membership; needs a line-integrity/curvature metric (same family as staggering).,line_integrity / curvature metric,multi_line_model line membership + relative_position_to_line,False,,LOW
unit_detection,"Team shape, units, lines, occupation, and structural change",supported,"Detecting horizontal units/lines is exactly what multi_line_model does (ranked lines, with honest rank-N not observed).",,multi_line_model,False,,HIGH
unit_height,"Team shape, units, lines, occupation, and structural change",supported,Longitudinal height of a detected unit/line is a direct attribute of multi_line_model ranked lines.,,multi_line_model (line height),False,,HIGH
unit_line_membership,"Team shape, units, lines, occupation, and structural change",supported,Assigning players to ranked lines is the membership output of multi_line_model.,,multi_line_model (membership),False,,HIGH
unit_line_model,"Team shape, units, lines, occupation, and structural change",supported,"Equivalent to multi_line_model (ranked lines rank1,2,...).",,multi_line_model,False,,HIGH
unit_orientation,"Team shape, units, lines, occupation, and structural change",partial_with_typed_gap,"Orientation/tilt of a unit needs the line-integrity/orientation metric; ranked-line membership alone gives membership and height, not the line's angle.",line orientation / integrity metric,multi_line_model membership + relative_position_to_line,True,,LOW
unit_spacing,"Team shape, units, lines, occupation, and structural change",supported,Inter-line spacing between SPECIFIC ranked lines is computable as the height difference between multi_line_model lines. Calibration: inter-line spacing via multi_line_model lines = supported.,,multi_line_model (rank-i vs rank-j height delta),True,,HIGH
unit_width,"Team shape, units, lines, occupation, and structural change",supported,Lateral span of a unit's members is team_compactness (width) computed on the multi_line_model line membership subset.,,team_compactness (width) on line membership,True,,MED
vertical_compactness,"Team shape, units, lines, occupation, and structural change",supported,Longitudinal compactness = depth component of team_compactness.,,team_compactness (depth),False,,HIGH
weak_side_balance,"Team shape, units, lines, occupation, and structural change",partial_with_typed_gap,"Coverage/numbers on the far side from the ball is computable via ball_lateral_fraction defining weak side + local_number_relation/count there, but 'balance' as a declared metric and the weak-side region reference need explicit definition.",weak_side region reference + balance metric definition,ball_lateral_fraction + local_number_relation + count,True,,MED
ahead_of_ball_relation,Spatial geometry and topological relations,supported,Ball-relative ahead/behind is a positional relation from tracking positions; relative_position_to_line in the ball frame and support_arrival_relation already encode it.,,relative_position_to_line (ball frame) / ball_lateral_fraction,False,,MED
angle_to_goal,Spatial geometry and topological relations,supported,"Pure geometry from positions and goal location; derivable from pairwise_distance/relative geometry. Goal is a fixed reference, no role taxonomy needed.",,pairwise_distance + relative_position_to_line (goal frame),False,,MED
ball_side_relation,Spatial geometry and topological relations,supported,Directly ball_lateral_fraction (ball side/width).,,ball_lateral_fraction,False,,HIGH
bearing,Spatial geometry and topological relations,supported,Direction from one point to another is basic geometry derivable from positions/velocity; trivially composed from tracking positions.,,pairwise_distance + velocity (heading),False,,MED
behind_ball_relation,Spatial geometry and topological relations,supported,"Dual of ahead_of_ball; ball-relative behind relation, also embedded in support_arrival_relation (BEHIND_BALL_OUTLET).",,relative_position_to_line (ball frame) / support_arrival_relation,False,,MED
between_relation,Spatial geometry and topological relations,supported,Whether an entity lies between two others is a positional/geometric relation from pairwise_distance and ordering along an axis.,,pairwise_distance + relative_position_to_line,False,,MED
capsule_clearance,Spatial geometry and topological relations,supported,"Clearance of a capsule (e.g., a pass corridor) from defenders is geometric distance between a swept region and points; geometric_progressive_corridor + pairwise_distance cover corridor clearance.",,geometric_progressive_corridor + pairwise_distance,True,,MED
centroid,Spatial geometry and topological relations,supported,Geometric centroid of a point set; defensive_outfield_centroid is the catalog instance and centroid generalizes from positions.,,defensive_outfield_centroid,False,,HIGH
concave_hull,Spatial geometry and topological relations,partial_with_typed_gap,A concave (alpha) hull is a specific geometric construction not in the catalog; team_compactness gives dispersion/area but not the hull polygon. Convex/area proxies exist but concave boundary is an added geometry primitive.,concave_hull (alpha-shape) geometry,team_compactness (dispersion/area) as a coarse extent proxy,False,,LOW
convex_hull,Spatial geometry and topological relations,partial_with_typed_gap,"Convex hull polygon/area is standard geometry from positions and is closely proxied by team_compactness area, but an explicit hull-polygon primitive (for inside/outside tests) is not declared.",convex_hull polygon geometry,team_compactness (area/dispersion),False,,MED
covariance_ellipse,Spatial geometry and topological relations,missing_primitive,"Second-moment ellipse (orientation + anisotropy of a point cloud) is not a catalog primitive; team_compactness gives scalar width/depth, not eigenstructure.",covariance_ellipse (second-moment) geometry,team_compactness (width/depth scalars),False,,LOW
delaunay_adjacency,Spatial geometry and topological relations,missing_primitive,Delaunay triangulation adjacency is a specific computational-geometry structure absent from the catalog; pairwise_distance gives distances but not the triangulation graph.,delaunay/voronoi geometry primitive,pairwise_distance (nearest-neighbor proxy),False,,LOW
distance,Spatial geometry and topological relations,supported,Directly pairwise_distance.,,pairwise_distance,False,,HIGH
distance_to_goal,Spatial geometry and topological relations,supported,pairwise_distance to a fixed goal reference point.,,pairwise_distance (goal point),False,,HIGH
free_space_radius,Spatial geometry and topological relations,supported,"Distance to nearest opponent (radius of clear space) is pairwise_distance / nearest-entity; a purely positional openness measure, not a control field.",,pairwise_distance (nearest opponent),False,,MED
goal_mouth_visibility,Spatial geometry and topological relations,partial_with_typed_gap,"Unobstructed goal-mouth angle is geometric (angle subtended minus blockers), computable from positions and goal posts, but needs a declared line-of-sight/occlusion blocking model rather than mere distance.",line-of-sight/occlusion geometry (sight blocking),angle_to_goal proxy + pairwise_distance to blockers,True,,LOW
goal_side_relation,Spatial geometry and topological relations,supported,Whether a defender is on the goal side of an attacker is relative_position_to_line in the goal frame (longitudinal ordering toward own goal).,,relative_position_to_line (goal frame),False,,MED
inside_outside_shape_relation,Spatial geometry and topological relations,partial_with_typed_gap,Inside/outside the team shape needs a shape boundary (hull) to test against; team_compactness gives extent scalars but not a polygon for membership tests.,convex/concave hull polygon for membership test,team_compactness extent + relative_position_to_line (coarse),False,,LOW
k_nearest_entities,Spatial geometry and topological relations,supported,k-NN by distance is ranking on pairwise_distance with top_k/rank operators.,,pairwise_distance + rank/count,False,,MED
line_of_sight,Spatial geometry and topological relations,partial_with_typed_gap,"Geometric line-of-sight (no body between two points) is computable from positions as a corridor-clearance test, but a declared occlusion/segment-blocking primitive is needed; not gaze (which would be modality).",segment/occlusion clearance geometry,geometric_progressive_corridor + pairwise_distance to blockers,True,,LOW
local_density,Spatial geometry and topological relations,supported,Count of entities within a radius is pairwise_distance + count_at_least; local crowding from positions.,,pairwise_distance + count_at_least / local_number_relation,False,,MED
nearest_entity,Spatial geometry and topological relations,partial_with_typed_gap,[audit-corrected] argmin of pairwise_distance. — relies on an aggregation/extremum operator absent from the catalog (only gt/gte/lte/eq/neq/persists_for/exists/count_at_least exist).,aggregation/extremum operator (argmax/integral/median/quantile),pairwise_distance + argmin,False,,HIGH
overlap_area,Spatial geometry and topological relations,missing_primitive,Area of overlap between two regions/shapes requires polygon-area geometry (hulls or control regions); catalog has no general area-intersection primitive.,polygon area / intersection geometry (hull or control region),team_compactness area scalars (cannot intersect),False,,LOW
region_adjacency,Spatial geometry and topological relations,missing_primitive,"Adjacency between defined regions presupposes structured zones/regions; only attacking lane_occupancy exists, not a general region topology.",structured_zones (region topology),lane_occupancy (attacking channels only),False,,MED
region_crossing,Spatial geometry and topological relations,partial_with_typed_gap,"Crossing INTO/through a region is supported by relation_destination_entry (ball-enters-region-in-window) and geometric_progressive_corridor for defined corridors, but arbitrary structured-zone crossings need structured_zones.",structured_zones (for arbitrary regions),relation_destination_entry + geometric_progressive_corridor,False,,MED
region_distance,Spatial geometry and topological relations,partial_with_typed_gap,"Distance to a region boundary is geometric, but requires region definitions; for catalog corridors/anchors it is supported, for arbitrary zones it needs structured_zones.",structured_zones (region definitions),pairwise_distance to anchor + geometric_progressive_corridor,False,,LOW
relative_bearing,Spatial geometry and topological relations,supported,Bearing of one entity relative to another's frame is geometry from positions and velocity heading (no body orientation needed).,,velocity (heading) + pairwise_distance/bearing,False,,MED
segment_clearance,Spatial geometry and topological relations,supported,"Minimum distance from defenders to a line segment (e.g., pass line) = geometric_progressive_corridor clearance / pairwise_distance to a segment.",,geometric_progressive_corridor + pairwise_distance,True,,MED
signed_lateral_separation,Spatial geometry and topological relations,supported,Signed lateral distance between entities is the lateral component of pairwise_distance / ball_lateral_fraction-style signed width; signed_lateral_shift demonstrates signed lateral measurement exists.,,"pairwise_distance (lateral, signed) / signed_lateral_shift",False,,MED
signed_longitudinal_separation,Spatial geometry and topological relations,supported,Signed forward/back distance = relative_position_to_line longitudinal component / pairwise_distance projected on the goal axis.,,relative_position_to_line / pairwise_distance (longitudinal),False,,MED
spatial_entropy,Spatial geometry and topological relations,partial_with_typed_gap,"Entropy of a spatial distribution is a derived dispersion statistic; team_compactness dispersion is a proxy, but a declared entropy primitive (requires a binning/zone basis) is not present.",spatial entropy metric (binning/zone basis),team_compactness (dispersion),False,,LOW
spatial_ordering,Spatial geometry and topological relations,supported,Ordering entities along an axis is rank on a positional projection (relative_position_to_line) — exactly how multi_line_model ranks lines.,,relative_position_to_line + rank,False,,MED
voronoi_partition,Spatial geometry and topological relations,missing_primitive,Voronoi/pitch-control partitioning is a computational-geometry construct (and approaches control-field territory) not in the catalog; nearest-entity gives the seed assignment but not the cell geometry.,voronoi geometry (control region tessellation),nearest-entity via pairwise_distance (seed only),False,,MED
